id,name,link,ingredients,allergensraw,allergensmapped
52,Sourdough White Ciabattin,https://world.openfoodfacts.org/product/5025125000006,"Wheat Flour (Fortified with Calcium Carbonate, Iron, Niacin, Thiamin), Water, Salt, Fermented Wheat Flour.",Gluten,wheat
53,Fine cut Oxford marmalade,https://world.openfoodfacts.org/product/5035660138782,"Glucose-Fructose Syrup, Seville Oranges, Sugar, Acid: Citric Acid, Acidity Regulator: Sodium Citrates, Gelling Agent: Pectin, Orange Oil.",,
54,Breakfast sandwich biscuits hazelnut - cocoa,https://world.openfoodfacts.org/product/0819019020271,"Whole Grain Flour, lupine, barley, cane sugar, sustainable palm oil, hazelnut paste, cocoa butter, cocoa powder, agave inulin, flaxseed flour, almonds, baking soda, sea salt, natural flavorings, sunflower lecithin","Gluten, Lupin, Nuts","milk, tree nut, wheat"
55,Old English Medium Sliced White Bread,https://world.openfoodfacts.org/product/5010044006529,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Liquid Concentrated Sponge Extract (Water, Wheat Flour, Yeast), Vegetable Oil (Rapeseed, Sustainable Palm), Salt, Fermented Wheat Flour, Soya Flour, Flour Treatment Agent: Ascorbic Acid (Vitamin C).","Gluten, Soybeans","soy, wheat"
56,Tortilla chips,https://world.openfoodfacts.org/product/00414234,Maize Flour Vegetable Oil (Sunflower/Rapeseed),,wheat
57,Chick Peas in Salted Water,https://world.openfoodfacts.org/product/5013635312160,"Chick Peas (60%), Water, Salt.",,
58,Organic Sea Salt Tortilla Chips,https://world.openfoodfacts.org/product/0815099021634,"organic whole ground corn, organic sunflower oil and/or organic safflower oil, sea salt,",,
59,Premium Soy Sauce,https://world.openfoodfacts.org/product/0078895126396,"Water, Soybeans 17.5%, Salt, Sugar, Wheat Flour.","Gluten, Soybeans","soy, wheat"
60,PEANUT BUTTER SPREAD,https://world.openfoodfacts.org/product/0051500243213,"PEANUTS, SUGAR, PALM OIL, SALT, MOLASSES","Gluten, Nuts, Peanuts","peanut, tree nut, wheat"
61,Organic Bread 21 Whole Grains and Seeds,https://world.openfoodfacts.org/product/0013764027053,"organic whole wheat (organic whole wheat flour, organic cracked whole wheat), water, organic cane sugar, organic whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic tri-color quinoa (organic black quinoa, organic red quinoa, organic white quinoa), organic ground whole flax seeds, organic triticale, organic pumpkin seeds, organic rolled barley, organic rolled oats, organic rolled rye, organic blue cornmeal, organic millet, organic yellow cornmeal, organic kamut khorasan wheat, organic sorghum flour, organic buckwheat flour, organic quinoa, organic poppy seeds), organic wheat gluten, organic oat fiber, yeast, organic molasses, sea salt, organic cultured wheat flour, organic vinegar, organic acerola cherry powder, enzymes",Gluten,wheat
62,Grahams,https://world.openfoodfacts.org/product/0044000004637,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), GRAHAM FLOUR (WHOLE GRAIN WHEAT FLOUR), SUGAR, SOYBEAN AND/OR CANOLA OIL, HONEY, LEAVENING (BAKING SODA, CALCIUM PHOSPHATE), SALT, SOY LECITHIN, ARTIFICIAL FLAVOR, WHEAT, SOY.","Gluten, Soybeans","soy, wheat"
63,Barbecue Sauce,https://world.openfoodfacts.org/product/0013409918104,"Sugars (glucose-fructose, con - centrated pineapple juice, refiners' molasses, sugar), Tomato paste, Vinegar, Water, Modified corn starch, Salt, Natural smoke flavour, Spices, Caramel colour, Sodium benzoate (preservative), Dried garlic, Mustard flour, Tamarind, Natural flavour, Celery seed. Contains: Mustard.","Celery, Mustard",wheat
64,Solid White Tuna Albacore,https://world.openfoodfacts.org/product/08660533,"WHITE TUNA, WATER, VEGETABLE BROTH, SEA SALT.","Fish, Soybeans","fish, soy"
65,Organic Tortilla Chips,https://world.openfoodfacts.org/product/0096619656493,"Organic corn, organic vegetable oil (organic sunflower and/or organic canola oil), sea salt.",,
66,Kinder Bueno,https://world.openfoodfacts.org/product/8000500037560,"milk chocolate 31,5 % (sugar, cocoa butter, cocoa mass, skimmed milk powder, concentrated butter, emulsifiers: lecithins [soya], vanillin), sugar, palm oil, wheat flour, ground hazelnuts 10,8%, skimmed milk powder, milk powder, dark chocolate (sugar, cocoa mass, cocoa butter, emulsifiers: lecithins [soya], vanillin), lean cocoa, emulsifiers: lecithins [soya], raising agents (sodium acid carbonate, ammonium acid carbonate), salt, vanillin,","Gluten, Milk, Nuts, Soybeans","milk, soy, tree nut, wheat"
67,Bournville Dark Chocolate bar,https://world.openfoodfacts.org/product/7622210249661,"sugar, cocoa butter, cocoa mass, palm oil, emulsifiers (soya lecithin, e476),skimmed milk powder","Milk, Soybeans","milk, soy"
